Name,Amount/100g,Unit,Technique,Method,Sample
Total lipid (fat),0.37,g,Acid hydrolysis,AOAC 989.05 mod,2747899
Vitamin B-12,1.23,µg,Vitamin B12 by Microbiological Method,AOAC 952.20 and AOAC 960.46 mod.,2747899
Water,87.08,g,Vacuum oven,AOAC 934.06 mod,2747899
"Zinc, Zn",0.701,mg,ICP,AOAC 985.01 + 984.27,2747899
Ash,1.395,g,Gravimetric,AOAC 900.02,2747901
"Calcium, Ca",8.73,mg,ICP,AOAC 985.01 + 984.27,2747901
"Copper, Cu",<0.025,mg,ICP,AOAC 985.01 + 984.27,2747901
"Iron, Fe",0.46,mg,ICP,AOAC 985.01 + 984.27,2747901
"Magnesium, Mg",35.5,mg,ICP,AOAC 985.01 + 984.27,2747901
"Manganese, Mn",0.0181,mg,ICP,AOAC 985.01 + 984.27,2747901
Nitrogen,2.55,g,Kjeldahl,AOAC 991.20,2747901
"Phosphorus, P",237,mg,ICP,AOAC 985.01 + 984.27,2747901
"Potassium, K",336,mg,ICP,AOAC 985.01 + 984.27,2747901
"Selenium, Se",15.4,µg,ICP-MS,AOAC 2011.19,2747901
"Sodium, Na",159,mg,ICP,AOAC 985.01 + 984.27,2747901
Total lipid (fat),0.72,g,Acid hydrolysis,AOAC 989.05 mod,2747901
Vitamin B-12,1.67,µg,Vitamin B12 by Microbiological Method,AOAC 952.20 and AOAC 960.46 mod.,2747901
Water,80.39,g,Vacuum oven,AOAC 934.06 mod,2747901
"Zinc, Zn",1.19,mg,ICP,AOAC 985.01 + 984.27,2747901
