"","sample","name","value","std","mass","sample2","date","run","keep","Date.fished","wet.sample..g.","lipid_perc","dry","fame.mg","dry.sample.g","perc_fa","perc_fa_d"
"51","2025\06\26\SCAL_0037.DATA","20:2n-9",0.06,18.33,0.00490998363338789,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,0.00000326288120241088,0.000015904446323167
"52","2025\06\26\SCAL_0037.DATA","20:2NMID2",NA,18.33,NA,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,NA,NA
"53","2025\06\26\SCAL_0037.DATA","20:2n-6",0.3,18.33,0.0245499181669394,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,0.0000163144060120544,0.0000851497197879315
"54","2025\06\26\SCAL_0037.DATA","20:3NMIT",0.04,18.33,0.00327332242225859,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,0.00000217525413494059,0.00000976232877839201
"55","2025\06\26\SCAL_0037.DATA","20:3n-6",0.04,18.33,0.00327332242225859,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,0.00000217525413494059,0.0000101758374660731
"56","2025\06\26\SCAL_0037.DATA","20:4n-6",1.02,18.33,0.0834697217675941,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,0.0000554689804409849,0.000263390528097886
"57","2025\06\26\SCAL_0037.DATA","20:3n-3",0.09,18.33,0.00736497545008183,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,0.00000489432180361632,0.0000229627589896616
"58","2025\06\26\SCAL_0037.DATA","20:4n-3",0.2,18.33,0.016366612111293,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,0.0000108762706747029,0.0000517514637079119
"59","2025\06\26\SCAL_0037.DATA","20:5n-3",15.4,18.33,1.26022913256956,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,0.000837472841952125,0.00393861141217842
"60","2025\06\26\SCAL_0037.DATA","22:0",0.08,18.33,0.00654664484451719,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,0.00000435050826988117,0.0000204381971881023
"61","2025\06\26\SCAL_0037.DATA","22:1n-11",NA,18.33,NA,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,NA,NA
"62","2025\06\26\SCAL_0037.DATA","22:1n-9",0.02,18.33,0.0016366612111293,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,0.00000108762706747029,0.00000554064397272461
"63","2025\06\26\SCAL_0037.DATA","22:1n-7",0.05,18.33,0.00409165302782324,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,0.00000271906766867573,0.0000128030138618969
"64","2025\06\26\SCAL_0037.DATA","22:2NMID1",0.05,18.33,0.00409165302782324,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,0.00000271906766867573,0.0000123685792621393
"65","2025\06\26\SCAL_0037.DATA","22:2NMID2",NA,18.33,NA,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,NA,NA
"66","2025\06\26\SCAL_0037.DATA","22:2n-6",0.03,18.33,0.00245499181669394,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,0.00000163144060120544,0.00000765929494913602
"67","2025\06\26\SCAL_0037.DATA","21:5n-3",0.74,18.33,0.060556464811784,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,0.0000402422014964008,0.000190373072169512
"68","2025\06\26\SCAL_0037.DATA","23:0",18.33,18.33,1.5,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,0.000996810207336523,0.00472521835798126
"69","2025\06\26\SCAL_0037.DATA","22:4n-6",0.04,18.33,0.00327332242225859,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,0.00000217525413494059,0.0000103998695123229
"70","2025\06\26\SCAL_0037.DATA","22:5n-6",0.38,18.33,0.0310965630114566,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,0.0000206649142819356,0.0000984738129799654
"71","2025\06\26\SCAL_0037.DATA","22:4n-3",0.04,18.33,0.00327332242225859,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,0.00000217525413494059,0.00000994812004828019
"72","2025\06\26\SCAL_0037.DATA","22:5n-3",0.69,18.33,0.0564648117839607,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,0.0000375231338277251,0.000173740049778488
"73","2025\06\26\SCAL_0037.DATA","24:0",0.02,18.33,0.0016366612111293,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,0.00000108762706747029,0.00000548937366059183
"74","2025\06\26\SCAL_0037.DATA","22:6n-3",26.94,18.33,2.20458265139116,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,0.00146503365988248,0.00732345168660955
"75","2025\06\26\SCAL_0037.DATA","24:1n-9",NA,18.33,NA,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,NA,NA
"76","2025\06\26\SCAL_0037.DATA","DMA:1",NA,18.33,NA,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,NA,NA
"77","2025\06\26\SCAL_0037.DATA","DMA:2",NA,18.33,NA,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,NA,NA
"78","2025\06\26\SCAL_0038.DATA","12:0",0.01,19.74,0.000759878419452888,38,2025-06-26,"1","Y","2024-07-23",1.4941,1.17796666889765,0.214253621365156,11.1999999999988,0.32011633568168,0.00000050858605143758,0.00000250383555082667
"79","2025\06\26\SCAL_0038.DATA","BHT",0,19.74,0,38,2025-06-26,"1","Y","2024-07-23",1.4941,1.17796666889765,0.214253621365156,11.1999999999988,0.32011633568168,0,0
"80","2025\06\26\SCAL_0038.DATA","13:0",0.02,19.74,0.00151975683890578,38,2025-06-26,"1","Y","2024-07-23",1.4941,1.17796666889765,0.214253621365156,11.1999999999988,0.32011633568168,0.00000101717210287516,0.00000503955991333309
"81","2025\06\26\SCAL_0038.DATA","i:14:0",0.01,19.74,0.000759878419452888,38,2025-06-26,"1","Y","2024-07-23",1.4941,1.17796666889765,0.214253621365156,11.1999999999988,0.32011633568168,0.00000050858605143758,0.00000247337342901033
"82","2025\06\26\SCAL_0038.DATA","14:0",0.96,19.74,0.0729483282674772,38,2025-06-26,"1","Y","2024-07-23",1.4941,1.17796666889765,0.214253621365156,11.1999999999988,0.32011633568168,0.0000488242609380076,0.000237739525536316
"83","2025\06\26\SCAL_0038.DATA","14:1n-9",0.03,19.74,0.00227963525835866,38,2025-06-26,"1","Y","2024-07-23",1.4941,1.17796666889765,0.214253621365156,11.1999999999988,0.32011633568168,0.00000152575815431274,0.00000767093102623997
"84","2025\06\26\SCAL_0038.DATA","14:1n-7",NA,19.74,NA,38,2025-06-26,"1","Y","2024-07-23",1.4941,1.17796666889765,0.214253621365156,11.1999999999988,0.32011633568168,NA,NA
"85","2025\06\26\SCAL_0038.DATA","14:1n-5",NA,19.74,NA,38,2025-06-26,"1","Y","2024-07-23",1.4941,1.17796666889765,0.214253621365156,11.1999999999988,0.32011633568168,NA,NA
"86","2025\06\26\SCAL_0038.DATA","i:15:0",0.05,19.74,0.00379939209726444,38,2025-06-26,"1","Y","2024-07-23",1.4941,1.17796666889765,0.214253621365156,11.1999999999988,0.32011633568168,0.0000025429302571879,0.0000123057400287599
"87","2025\06\26\SCAL_0038.DATA","ai:15:0",0.01,19.74,0.000759878419452888,38,2025-06-26,"1","Y","2024-07-23",1.4941,1.17796666889765,0.214253621365156,11.1999999999988,0.32011633568168,0.00000050858605143758,0.0000025195110605383
"88","2025\06\26\SCAL_0038.DATA","15:0",0.48,19.74,0.0364741641337386,38,2025-06-26,"1","Y","2024-07-23",1.4941,1.17796666889765,0.214253621365156,11.1999999999988,0.32011633568168,0.0000244121304690038,0.00011608835444395
"89","2025\06\26\SCAL_0038.DATA","i16:0",0.25,19.74,0.0189969604863222,38,2025-06-26,"1","Y","2024-07-23",1.4941,1.17796666889765,0.214253621365156,11.1999999999988,0.32011633568168,0.0000127146512859395,0.0000625837619023168
"90","2025\06\26\SCAL_0038.DATA","16:0",15.67,19.74,1.19072948328267,38,2025-06-26,"1","Y","2024-07-23",1.4941,1.17796666889765,0.214253621365156,11.1999999999988,0.32011633568168,0.000796954342602687,0.0036892772393666
"91","2025\06\26\SCAL_0038.DATA","16:1n-11",0.22,19.74,0.0167173252279635,38,2025-06-26,"1","Y","2024-07-23",1.4941,1.17796666889765,0.214253621365156,11.1999999999988,0.32011633568168,0.0000111888931316268,0.0000564065527708628
"92","2025\06\26\SCAL_0038.DATA","16:1n-9",0.09,19.74,0.00683890577507599,38,2025-06-26,"1","Y","2024-07-23",1.4941,1.17796666889765,0.214253621365156,11.1999999999988,0.32011633568168,0.00000457727446293822,0.0000223128523425959
"93","2025\06\26\SCAL_0038.DATA","16:1n-7",0.7,19.74,0.0531914893617021,38,2025-06-26,"1","Y","2024-07-23",1.4941,1.17796666889765,0.214253621365156,11.1999999999988,0.32011633568168,0.0000356010236006306,0.000173545431559161
"94","2025\06\26\SCAL_0038.DATA","16:1n-5",0.2,19.74,0.0151975683890578,38,2025-06-26,"1","Y","2024-07-23",1.4941,1.17796666889765,0.214253621365156,11.1999999999988,0.32011633568168,0.0000101717210287516,0.0000515619270926589
"95","2025\06\26\SCAL_0038.DATA","17:1:a",NA,19.74,NA,38,2025-06-26,"1","Y","2024-07-23",1.4941,1.17796666889765,0.214253621365156,11.1999999999988,0.32011633568168,NA,NA
"96","2025\06\26\SCAL_0038.DATA","i:17:0",0.39,19.74,0.0296352583586626,38,2025-06-26,"1","Y","2024-07-23",1.4941,1.17796666889765,0.214253621365156,11.1999999999988,0.32011633568168,0.0000198348560060656,0.0000973897296912636
"97","2025\06\26\SCAL_0038.DATA","16:2n-6",0.04,19.74,0.00303951367781155,38,2025-06-26,"1","Y","2024-07-23",1.4941,1.17796666889765,0.214253621365156,11.1999999999988,0.32011633568168,0.00000203434420575032,0.0000102010549085695
"98","2025\06\26\SCAL_0038.DATA","ai:17:0",0.11,19.74,0.00835866261398176,38,2025-06-26,"1","Y","2024-07-23",1.4941,1.17796666889765,0.214253621365156,11.1999999999988,0.32011633568168,0.00000559444656581338,0.0000273689630668803
"99","2025\06\26\SCAL_0038.DATA","17:1:b:",0.05,19.74,0.00379939209726444,38,2025-06-26,"1","Y","2024-07-23",1.4941,1.17796666889765,0.214253621365156,11.1999999999988,0.32011633568168,0.0000025429302571879,0.0000126768019395826
"100","2025\06\26\SCAL_0038.DATA","16:2n-4",0.03,19.74,0.00227963525835866,38,2025-06-26,"1","Y","2024-07-23",1.4941,1.17796666889765,0.214253621365156,11.1999999999988,0.32011633568168,0.00000152575815431274,0.00000695994208768327
"101","2025\06\26\SCAL_0038.DATA","17:0",0.47,19.74,0.0357142857142857,38,2025-06-26,"1","Y","2024-07-23",1.4941,1.17796666889765,0.214253621365156,11.1999999999988,0.32011633568168,0.0000239035444175662,0.000114304311536454
"102","2025\06\26\SCAL_0038.DATA","Phytane",0.47,19.74,0.0357142857142857,38,2025-06-26,"1","Y","2024-07-23",1.4941,1.17796666889765,0.214253621365156,11.1999999999988,0.32011633568168,0.0000239035444175662,0.000118620770632077
"103","2025\06\26\SCAL_0038.DATA","16:3n-4",0.01,19.74,0.000759878419452888,38,2025-06-26,"1","Y","2024-07-23",1.4941,1.17796666889765,0.214253621365156,11.1999999999988,0.32011633568168,0.00000050858605143758,0.00000257995048457496
"104","2025\06\26\SCAL_0038.DATA","17:1",0.06,19.74,0.00455927051671732,38,2025-06-26,"1","Y","2024-07-23",1.4941,1.17796666889765,0.214253621365156,11.1999999999988,0.32011633568168,0.00000305151630862548,0.0000153970460103536
"105","2025\06\26\SCAL_0038.DATA","16:4n-3",0.02,19.74,0.00151975683890578,38,2025-06-26,"1","Y","2024-07-23",1.4941,1.17796666889765,0.214253621365156,11.1999999999988,0.32011633568168,0.00000101717210287516,0.00000503109286409114
"106","2025\06\26\SCAL_0038.DATA","16:4n-1",0.03,19.74,0.00227963525835866,38,2025-06-26,"1","Y","2024-07-23",1.4941,1.17796666889765,0.214253621365156,11.1999999999988,0.32011633568168,0.00000152575815431274,0.00000702585171827127
"107","2025\06\26\SCAL_0038.DATA","18:0",5.08,19.74,0.386018237082067,38,2025-06-26,"1","Y","2024-07-23",1.4941,1.17796666889765,0.214253621365156,11.1999999999988,0.32011633568168,0.00025836171413029,0.00124721018485372
"108","2025\06\26\SCAL_0038.DATA","18:1n-13",0.08,19.74,0.0060790273556231,38,2025-06-26,"1","Y","2024-07-23",1.4941,1.17796666889765,0.214253621365156,11.1999999999988,0.32011633568168,0.00000406868841150064,0.0000205066684979449
"109","2025\06\26\SCAL_0038.DATA","18:1n-11",0.05,19.74,0.00379939209726444,38,2025-06-26,"1","Y","2024-07-23",1.4941,1.17796666889765,0.214253621365156,11.1999999999988,0.32011633568168,0.0000025429302571879,0.0000127927869512335
"110","2025\06\26\SCAL_0038.DATA","18:1n-9",0.75,19.74,0.0569908814589666,38,2025-06-26,"1","Y","2024-07-23",1.4941,1.17796666889765,0.214253621365156,11.1999999999988,0.32011633568168,0.0000381439538578185,0.000206504721603873
"111","2025\06\26\SCAL_0038.DATA","18:1n-7",3.29,19.74,0.25,38,2025-06-26,"1","Y","2024-07-23",1.4941,1.17796666889765,0.214253621365156,11.1999999999988,0.32011633568168,0.000167324810922964,0.000800953609363206
"112","2025\06\26\SCAL_0038.DATA","18:1n-5",0.15,19.74,0.0113981762917933,38,2025-06-26,"1","Y","2024-07-23",1.4941,1.17796666889765,0.214253621365156,11.1999999999988,0.32011633568168,0.00000762879077156369,0.0000374662346952303
"113","2025\06\26\SCAL_0038.DATA","18:2d5:11",0.03,19.74,0.00227963525835866,38,2025-06-26,"1","Y","2024-07-23",1.4941,1.17796666889765,0.214253621365156,11.1999999999988,0.32011633568168,0.00000152575815431274,0.00000713440402219462
"114","2025\06\26\SCAL_0038.DATA","18:2n-7",NA,19.74,NA,38,2025-06-26,"1","Y","2024-07-23",1.4941,1.17796666889765,0.214253621365156,11.1999999999988,0.32011633568168,NA,NA
"115","2025\06\26\SCAL_0038.DATA","18:2n-6",0.18,19.74,0.013677811550152,38,2025-06-26,"1","Y","2024-07-23",1.4941,1.17796666889765,0.214253621365156,11.1999999999988,0.32011633568168,0.00000915454892587643,0.0000466450932777742
